lat,lng,desc,zip,title,timeStamp,twp,addr
40.1213543,-75.3638292,ROSEMONT AVE & W WASHINGTON ST;  NORRISTOWN; Station 308A; 2016-01-01 @ 00:10:08;,19401,EMS: ASSAULT VICTIM,1/1/2016 0:10,NORRISTOWN,ROSEMONT AVE & W WASHINGTON ST
40.1405049,-75.3108737,GERMANTOWN PIKE & HANNAH AVE;  EAST NORRITON; Station 308; 2016-01-01 @ 00:14:45;,19401,EMS: FALL VICTIM,1/1/2016 0:14,EAST NORRITON,GERMANTOWN PIKE & HANNAH AVE
40.2468373,-75.6813814,VINE ST & CENTER ST;  WEST POTTSGROVE; Station 329; 2016-01-01 @ 00:20:43;,19464,EMS: ABDOMINAL PAINS,1/1/2016 0:20,WEST POTTSGROVE,VINE ST & CENTER ST
40.0972222,-75.3761952,MARK LN & DEAD END;  UPPER MERION; Station 317; 2016-01-01 @ 00:25:30;,,EMS: ALTERED MENTAL STATUS,1/1/2016 0:25,UPPER MERION,MARK LN & DEAD END
40.1484317,-75.2198118,BANNOCKBURN AVE & S SPRING GARDEN ST;  AMBLER; Station 351; 2016-01-01 @ 00:30:28;,19002,EMS: DIABETIC EMERGENCY,1/1/2016 0:30,AMBLER,BANNOCKBURN AVE & S SPRING GARDEN ST
40.1569641,-75.1431168,WELSH RD & BLAIR MILL RD; HORSHAM; 2016-01-01 @ 00:26:58-Station:STA15;,19044,Fire: FIRE ALARM,1/1/2016 0:26,HORSHAM,WELSH RD & BLAIR MILL RD
40.1878737,-75.4738357,CLAHOR AVE & W 1ST AVE; TRAPPE; 2016-01-01 @ 00:28:10-Station:STA77;,19426,Fire: VEHICLE FIRE,1/1/2016 0:28,TRAPPE,CLAHOR AVE & W 1ST AVE
40.073508,-75.3023225,ANGEL ALY & POPLAR ST;  CONSHOHOCKEN; Station 313A; 2016-01-01 @ 00:29:12;,19428,EMS: CARDIAC EMERGENCY,1/1/2016 0:29,CONSHOHOCKEN,ANGEL ALY & POPLAR ST
40.2502687,-75.6447277,EVANS ST & LINCOLN AVE;  POTTSTOWN; Station 329; 2016-01-01 @ 00:26:34;,19464,EMS: CARDIAC EMERGENCY,1/1/2016 0:26,POTTSTOWN,EVANS ST & LINCOLN AVE
40.2351769,-75.2900842,BROAD ST & WHITES RD;  LANSDALE; Station 345; 2016-01-01 @ 00:26:02;,19446,EMS: UNCONSCIOUS SUBJECT,1/1/2016 0:26,LANSDALE,BROAD ST & WHITES RD
40.1878737,-75.4738357,CLAHOR AVE & W 1ST AVE; TRAPPE; 2016-01-01 @ 00:29:01;,19426,Traffic: VEHICLE FIRE -,1/1/2016 0:29,TRAPPE,CLAHOR AVE & W 1ST AVE
40.1395103,-75.0420153,BYBERRY RD & EDENCROFT RD; LOWER MORELAND; 2016-01-01 @ 00:38:04;,19006,Traffic: VEHICLE ACCIDENT -,1/1/2016 0:38,LOWER MORELAND,BYBERRY RD & EDENCROFT RD
40.1532684,-75.1895576,COMMERCE DR & RT309 OVERPASS; UPPER DUBLIN; 2016-01-01 @ 00:45:27-Station:STA88;,,Fire: FIRE ALARM,1/1/2016 0:45,UPPER DUBLIN,COMMERCE DR & RT309 OVERPASS
40.1878737,-75.4738357,CLAHOR AVE & W 1ST AVE; TRAPPE; 2016-01-01 @ 00:47:38;,19426,Traffic: VEHICLE FIRE -,1/1/2016 0:47,TRAPPE,CLAHOR AVE & W 1ST AVE
40.0738876,-75.3062628,FAYETTE ST & E 1ST AVE;  CONSHOHOCKEN; Station 313A; 2016-01-01 @ 00:50:45;,19428,EMS: FALL VICTIM,1/1/2016 0:50,CONSHOHOCKEN,FAYETTE ST & E 1ST AVE
40.2537155,-75.6429377,CHARLOTTE ST & WEST ST;  POTTSTOWN; Station 329; 2016-01-01 @ 00:47:39;,19464,EMS: UNCONSCIOUS SUBJECT,1/1/2016 0:47,POTTSTOWN,CHARLOTTE ST & WEST ST
