year,hrs1,degree
1972,.i:  Inapplicable,Bachelor's
1972,.i:  Inapplicable,Less than high school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,Bachelor's
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,Bachelor's
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,Less than high school
1972,.i:  Inapplicable,Less than high school
1972,.i:  Inapplicable,Less than high school
1972,.i:  Inapplicable,Less than high school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,Less than high school
1972,.i:  Inapplicable,Bachelor's
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,Bachelor's
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,Less than high school
1972,.i:  Inapplicable,Less than high school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,Less than high school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,Less than high school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,Less than high school
1972,.i:  Inapplicable,Bachelor's
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,Less than high school
1972,.i:  Inapplicable,Less than high school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1972,.i:  Inapplicable,High school
1973,40,Less than high school
1973,.i:  Inapplicable,High school
1973,40,High school
1973,.i:  Inapplicable,Less than high school
1973,40,Less than high school
1973,.i:  Inapplicable,Less than high school
1973,.i:  Inapplicable,Less than high school
1973,.i:  Inapplicable,Less than high school
1973,40,Less than high school
1973,40,Less than high school
1973,.i:  Inapplicable,Less than high school
1973,19,Bachelor's
1973,.i:  Inapplicable,High school
1973,.i:  Inapplicable,High school
1973,35,Bachelor's
1973,.i:  Inapplicable,Bachelor's
1973,40,Associate/junior college
1973,40,Less than high school
1973,40,Less than high school
1973,.i:  Inapplicable,High school
1973,38,Less than high school
1973,40,Less than high school
1973,.i:  Inapplicable,Less than high school
1973,.i:  Inapplicable,High school
1973,.i:  Inapplicable,High school
1973,40,High school
1973,8,High school
1973,.i:  Inapplicable,High school
1973,14,Less than high school
1973,.i:  Inapplicable,Less than high school
1973,.i:  Inapplicable,Less than high school
1973,40,High school
1973,40,Less than high school
1973,.i:  Inapplicable,Less than high school
1973,.i:  Inapplicable,Less than high school
1973,.i:  Inapplicable,Less than high school
1973,40,High school
1973,.i:  Inapplicable,Less than high school
1973,.i:  Inapplicable,Bachelor's
1973,40,Less than high school
1973,4,High school
1973,.i:  Inapplicable,Less than high school
1973,40,High school
1973,.i:  Inapplicable,Less than high school
1973,31,High school
1973,.i:  Inapplicable,High school
1973,40,Less than high school
1973,.i:  Inapplicable,High school
1973,42,High school
1973,.i:  Inapplicable,High school
1973,.i:  Inapplicable,Bachelor's
1973,.i:  Inapplicable,High school
1973,20,High school
1973,.i:  Inapplicable,Bachelor's
1973,40,Bachelor's
1973,34,High school
1973,.i:  Inapplicable,Less than high school
1973,.i:  Inapplicable,High school
1973,15,High school
1973,.i:  Inapplicable,High school
1974,37,Bachelor's
1974,.i:  Inapplicable,Less than high school
1974,40,High school
1974,.i:  Inapplicable,High school
1974,.i:  Inapplicable,High school
1974,37,High school
1974,.i:  Inapplicable,High school
1974,60,High school
1974,.i:  Inapplicable,High school
1974,.i:  Inapplicable,Less than high school
1974,40,High school
1974,35,High school
1974,50,Less than high school
1974,.i:  Inapplicable,High school
1974,.i:  Inapplicable,Bachelor's
1974,28,High school
1974,50,Bachelor's
1974,50,Bachelor's
1974,.i:  Inapplicable,Bachelor's
1974,.i:  Inapplicable,High school
1974,16,Bachelor's
1974,.i:  Inapplicable,Less than high school
1974,40,Less than high school
1974,.i:  Inapplicable,Less than high school
1974,.i:  Inapplicable,High school
1974,40,High school
1974,40,Less than high school
1974,.i:  Inapplicable,Less than high school
